filename	3_types	16_types
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/FCJF0/SX37.WAV	D	D5
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/FCJF0/SI1657.WAV	D	D5
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/FCJF0/SX127.WAV	D	D5
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/MCPM0/SI1194.WAV	D	D5
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/MCPM0/SX294.WAV	D	D5
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/MCPM0/SX24.WAV	D	D5
/work/hchen605/recordings/5m/D5_5m/timit/TRAIN/DR1/MCPM0/SX204.WAV	D	D5
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/FCJF0/SX37.WAV	C	C2
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/FCJF0/SI1657.WAV	C	C2
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/FCJF0/SX127.WAV	C	C2
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/MCPM0/SX204.WAV	C	C2
/work/hchen605/recordings/5m/C2_5m/timit/TRAIN/DR1/MCPM0/SI564.WAV	C	C2
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/FCJF0/SX307.WAV	M	M2
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/FCJF0/SA2.WAV	M	M2
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/FCJF0/SI1657.WAV	M	M2
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/FCJF0/SX127.WAV	M	M2
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/MCPM0/SI564.WAV	M	M2
/work/hchen605/recordings/5m/M2_5m/timit/TRAIN/DR1/MCPM0/SX384.WAV	M	M2
/work/hchen605/recordings/5m/C4_5m/timit/TRAIN/DR1/FCJF0/SX307.WAV	C	C4
/work/hchen605/recordings/5m/C4_5m/timit/TRAIN/DR1/FCJF0/SI648.WAV	C	C4
/work/hchen605/recordings/5m/C4_5m/timit/TRAIN/DR1/FCJF0/SX397.WAV	C	C4
/work/hchen605/recordings/5m/C4_5m/timit/TRAIN/DR1/FCJF0/SX127.WAV	C	C4
/work/hchen605/recordings/5m/C4_5m/timit/TRAIN/DR1/MCPM0/SX24.WAV	C	C4
/work/hchen605/recordings/5m/C4_5m/timit/TRAIN/DR1/MCPM0/SA1.WAV	C	C4
/work/hchen605/recordings/5m/C4_5m/timit/TRAIN/DR1/MCPM0/SA2.WAV	C	C4
/work/hchen605/recordings/5m/C4_5m/timit/TRAIN/DR1/MCPM0/SX204.WAV	C	C4
/work/hchen605/recordings/5m/C4_5m/timit/TRAIN/DR1/MCPM0/SI1824.WAV	C	C4
/work/hchen605/recordings/5m/C4_5m/timit/TRAIN/DR1/MCPM0/SX384.WAV	C	C4
/work/hchen605/recordings/5m/D2_5m/timit/TRAIN/DR1/FCJF0/SA1.WAV	D	D2
/work/hchen605/recordings/5m/D2_5m/timit/TRAIN/DR1/FCJF0/SX127.WAV	D	D2
/work/hchen605/recordings/5m/D2_5m/timit/TRAIN/DR1/MCPM0/SI1194.WAV	D	D2
/work/hchen605/recordings/5m/D2_5m/timit/TRAIN/DR1/MCPM0/SX24.WAV	D	D2
/work/hchen605/recordings/5m/D2_5m/timit/TRAIN/DR1/MCPM0/SA2.WAV	D	D2
/work/hchen605/recordings/5m/D4_5m/timit/TRAIN/DR1/FCJF0/SX307.WAV	D	D4
/work/hchen605/recordings/5m/D4_5m/timit/TRAIN/DR1/MCPM0/SI1194.WAV	D	D4
/work/hchen605/recordings/5m/D4_5m/timit/TRAIN/DR1/MCPM0/SX24.WAV	D	D4
/work/hchen605/recordings/5m/D4_5m/timit/TRAIN/DR1/MCPM0/SA1.WAV	D	D4
/work/hchen605/recordings/5m/C1_5m/timit/TRAIN/DR1/FCJF0/SI1027.WAV	C	C1
/work/hchen605/recordings/5m/C1_5m/timit/TRAIN/DR1/FCJF0/SI648.WAV	C	C1
/work/hchen605/recordings/5m/C1_5m/timit/TRAIN/DR1/FCJF0/SX127.WAV	C	C1
/work/hchen605/recordings/5m/C1_5m/timit/TRAIN/DR1/MCPM0/SI1194.WAV	C	C1
/work/hchen605/recordings/5m/C1_5m/timit/TRAIN/DR1/MCPM0/SX294.WAV	C	C1
/work/hchen605/recordings/5m/C1_5m/timit/TRAIN/DR1/MCPM0/SI564.WAV	C	C1
/work/hchen605/recordings/5m/C3_5m/timit/TRAIN/DR1/FCJF0/SX307.WAV	C	C3
/work/hchen605/recordings/5m/C3_5m/timit/TRAIN/DR1/FCJF0/SI648.WAV	C	C3
/work/hchen605/recordings/5m/C3_5m/timit/TRAIN/DR1/FCJF0/SX127.WAV	C	C3
/work/hchen605/recordings/5m/C3_5m/timit/TRAIN/DR1/MCPM0/SX114.WAV	C	C3
/work/hchen605/recordings/5m/C3_5m/timit/TRAIN/DR1/MCPM0/SX24.WAV	C	C3
/work/hchen605/recordings/5m/C3_5m/timit/TRAIN/DR1/MCPM0/SI1824.WAV	C	C3
/work/hchen605/recordings/5m/M3_5m/timit/TRAIN/DR1/FCJF0/SA2.WAV	M	M3
/work/hchen605/recordings/5m/M3_5m/timit/TRAIN/DR1/FCJF0/SX37.WAV	M	M3
/work/hchen605/recordings/5m/M3_5m/timit/TRAIN/DR1/FCJF0/SI1657.WAV	M	M3
/work/hchen605/recordings/5m/M3_5m/timit/TRAIN/DR1/MCPM0/SI1194.WAV	M	M3
/work/hchen605/recordings/5m/M3_5m/timit/TRAIN/DR1/MCPM0/SX24.WAV	M	M3
/work/hchen605/recordings/5m/M3_5m/timit/TRAIN/DR1/MCPM0/SA1.WAV	M	M3
/work/hchen605/recordings/5m/M3_5m/timit/TRAIN/DR1/MCPM0/SI1824.WAV	M	M3
/work/hchen605/recordings/5m/M3_5m/timit/TRAIN/DR1/MCPM0/SX384.WAV	M	M3
/work/hchen605/recordings/5m/D1_5m/timit/TRAIN/DR1/FCJF0/SX217.WAV	D	D1
/work/hchen605/recordings/5m/D1_5m/timit/TRAIN/DR1/FCJF0/SX37.WAV	D	D1
/work/hchen605/recordings/5m/D1_5m/timit/TRAIN/DR1/MCPM0/SX114.WAV	D	D1
/work/hchen605/recordings/5m/D1_5m/timit/TRAIN/DR1/MCPM0/SA1.WAV	D	D1
/work/hchen605/recordings/5m/D1_5m/timit/TRAIN/DR1/MCPM0/SA2.WAV	D	D1
/work/hchen605/recordings/5m/D1_5m/timit/TRAIN/DR1/MCPM0/SX204.WAV	D	D1
/work/hchen605/recordings/5m/D1_5m/timit/TRAIN/DR1/MCPM0/SI1824.WAV	D	D1
